latitud;longitud;nombre;;direccion
3.49429;-76.50127;ALMACEN DEL GAS - TECNOMOVIL;;CL 75 B # 20 - 170 C RIO CAUCA
3.37419;-76.54808;MOTOS DE OCCIDENTE SAS ;;CRA 95 #3-160
3.22924;-76.42354;MOTOS DE OCCIDENTE SAS ;;CALLE 15 #18-66
3.44921;-76.53224;ELECTROJAPONESA - AFR MUEBLES;;Calle 11 # 7-48
3.68531;-76.31348;ELECTROJAPONESA S.A. - CO 207;;Calle 8 # 12-23
3.47166;-76.48545;ZAGAMOTOS DEL PACIFICO S.A.S.;;Calle 70 # 4n-41
4.0798;-76.2003;ALMACEN DEL GAS - D FARGO;;carrera 23 # 25 09
3.43402;-76.52645;COLEGAS;;AV 6N # 22-61
3.45474;-76.5315;ANDINA COLOMBIA MOTOS;;CARRERA 1 # 42 - 35
3.45364;-76.5503;LUAN MOTOS;;AV 4 OESTE # 7 - 165
3.46311;-76.4831;LUAN MOTOS;;CALLE 70# 7C-31
3.4456;-76.48559;TKD GRUPO EMPRESARIAL S.A.S.;;Carrera 15 # 10-49 LOCAL 102
3.47351;-76.52702;DISMERCA ;;Av. 6a # 25n - 44
3.44505;-76.50953;MOTORED DE COLOMBIA S.A.S.;;Carrera 15 # 33H - 05
3.37073;-76.52772;MOTORED DE COLOMBIA S.A.S.;;Carrera 98 # 16 - 200 Local R 32A L4
3.44432;-76.52642;CREDITOS FORTALECHE - OFICINA;;CALLE 15 # 66-25 OFICINA 304 F
3.47219;-76.4869;ARISTIZABAL MOTOS S.A.S;;Calle 70 # 5 - 20
3.4286;-76.51111;GRUPO EMPRESARIA DISTRITO SAS;;CARRERA 27 # 72-32
3.47523;-76.4849;DISMERCA ;;CARRERA 1 # 22 - 106
3.47351;-76.52702;COLMOTORS;;AV 6ª 25N-84
3.40588;-76.53088;DISMERCA ;;CALLE 14 # 18 - 55
3.47053;-76.49822;DISMERCA ;;CARRERA 23 # 57 - 05
3.43367;-76.51421;DISMERCA ;;CARRERA 23 # 58 - 115
3.52632;-76.29994;DISMERCA ;;CARRERA 29 # 28-75
3.46517;-76.53121;AKT MOTOS;;AV 6A Norte # 21 - 70
3.39793;-76.54095;SUMOTO S.A.;;Carrera 66 # 10A - 40
